TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR
North Carolina,40,33,123.3,94.9,0.9531,52.6,15.4,40.7,32.3,53.9,32.7,2016
Wisconsin,40,36,129.1,93.6,0.9758,54.8,12.4,32.1,36.2,54.8,36.5,2015
Michigan,40,33,114.4,90.4,0.9375,53.9,14,25.5,30.7,54.7,35.2,2018
Texas Tech,38,31,115.2,85.2,0.9696,53.5,17.7,27.4,32.9,52.8,36.5,2019
Gonzaga,39,37,117.8,86.3,0.9728,56.6,16.2,30,39,56.3,38.2,2017
Kentucky,40,29,117.2,96.2,0.9062,49.9,18.1,42,51.8,50,33.2,2014
Michigan,38,30,121.5,93.7,0.9522,54.6,14.6,32.5,28.4,53.4,37.9,2013
Duke,39,35,125.2,90.6,0.9764,56.6,16.3,35.8,39.8,55.9,38.7,2015
Virginia,38,35,123,89.9,0.9736,55.2,14.7,30.4,29.1,52.5,39.5,2019
North Carolina,39,33,121,91.5,0.9615,51.7,16.2,41.3,34.3,51,35.5,2017
Villanova,40,35,123.1,90.9,0.9703,56.1,16.3,28.2,34.1,57.4,36.2,2016
Villanova,40,36,128.4,94.1,0.9725,59.5,15,29.6,29.4,59,40.1,2018
Connecticut,40,32,112.5,91.3,0.9171,51.5,17.3,30.4,38.3,48.1,38.7,2014
Louisville,40,35,115.9,84.5,0.9743,50.6,18.3,38.2,40,50.8,33.3,2013
Louisville,36,27,109.4,87.4,0.929,47.7,17.2,34.7,38.7,48.4,30.7,2015
Notre Dame,38,32,125.3,98.6,0.9401,58.3,14.5,27.9,36.7,58.2,39,2015
Notre Dame,36,24,118.3,103.3,0.8269,54,15.3,32.7,32.9,52.9,37.4,2016
Virginia,37,29,119.9,91,0.96,54.8,15.1,29.9,32.1,52.6,40.3,2016
Duke,37,29,122.3,92.9,0.9592,55.9,17.5,38.8,34.6,56,37.2,2018
Florida St.,35,23,113.2,96.4,0.8631,53.2,17.8,32.3,37,53.6,35,2018
Duke,38,32,118.9,89.2,0.9646,53.6,17.5,35.6,33.2,58,30.8,2019
Purdue,36,26,122.8,94.3,0.9539,53.6,15.8,34.5,29.9,51.5,37.4,2019
Kansas,37,32,120.9,90.4,0.9662,55.7,17.8,32.2,38.6,52.7,41.3,2016
Kansas,36,31,121.5,94.5,0.9472,56.1,17.6,34.1,36,53.6,40.4,2017
Kansas St.,37,25,109.6,93.7,0.8584,52.6,17.2,25.9,33.8,53.4,34.1,2018
Texas Tech,37,27,112.7,91.5,0.917,52,17.8,32.9,39.3,51.1,35.9,2018
Xavier,38,24,115.6,97.9,0.8713,51.9,18.4,34.5,41.1,52,34.5,2017
Arizona,38,34,117.5,86.9,0.97,53.5,16.5,34.5,47.1,53.3,36,2015
Oregon,37,30,118.4,96.2,0.9163,52.3,16.1,34.1,40.3,52.6,34.4,2016
Florida,36,27,116.6,88.9,0.9576,51.6,16.9,32.1,40.2,50.3,35.9,2017
Kentucky,38,32,118.3,91.3,0.9517,52.9,15.7,33.5,40.9,52.9,35.3,2017
Kentucky,37,30,117.5,89.8,0.9568,53,18.6,36.8,41.9,52.9,35.4,2019
Gonzaga,37,34,120.2,93.1,0.9498,57.9,16.1,33.9,38.7,57,40,2015
Gonzaga,37,33,123.4,89.9,0.9744,59,14.9,31.5,35.3,61.4,36.3,2019
Arizona,38,33,116.2,87.4,0.9636,51.7,15.7,36.4,41,50.7,36.4,2014
Michigan,37,28,125,99.9,0.9295,55.7,14.8,29.4,34.9,52.7,40.2,2014
Michigan St.,38,29,119.6,95.3,0.9319,54.5,17.4,32.9,33.7,52.1,39.2,2014
Dayton,37,26,113,99.1,0.8188,52.4,18.1,33.9,40.6,50.4,37.7,2014
Ohio St.,37,29,113.6,89.4,0.9406,50.6,16.2,31.8,35.5,49.4,35.6,2013
Duke,36,30,118.4,91.5,0.9507,53.9,15.6,28.8,39.2,50.8,39.9,2013
Marquette,35,26,113,93.2,0.902,49.6,20.9,38.4,40.9,51.6,29.6,2013
Florida,37,29,115.7,85.7,0.9694,55.2,17.8,34.2,31,54.3,37.8,2013
Syracuse,37,23,111.9,93.6,0.8857,50,18.1,33.5,35.4,47.2,36,2016
Michigan St.,39,27,116.3,92.6,0.9327,53.2,17.5,33.5,32.7,50.8,38.5,2015
Michigan St.,39,32,119.9,91,0.9597,55.2,18.5,33.9,33.6,54.3,37.8,2019
Oklahoma,37,29,118.2,94.1,0.9326,54.3,18.3,31.2,33,48.2,42.2,2016
Kansas,39,31,122.1,96.4,0.9385,57.5,16.6,29.4,27,55.6,40.1,2018
Loyola Chicago,37,32,110.5,95.4,0.8444,57.7,19.1,22.1,32.2,56.6,39.8,2018
Oregon,38,33,117.8,93.8,0.9321,55.5,17.1,32.4,34.4,54.5,38,2017
Kentucky,39,38,120.3,84,0.9842,51.5,16.3,39.5,43.9,51.2,34.9,2015
South Carolina,36,26,108.7,89,0.9083,47.3,18.4,34,40.2,45.9,33.4,2017
Auburn,39,30,121.3,95.2,0.942,54.4,16.8,31.6,30.9,51.7,38.1,2019
Florida,39,36,115.9,88.4,0.9575,52.2,17.5,35.3,42.4,51.3,35.9,2014
Wisconsin,38,30,122.7,95.9,0.9441,53.3,12.7,28.1,42.7,51.3,37.6,2014
Syracuse,40,30,113,87,0.9533,49,18.9,38.8,36.8,48.5,33.4,2013
Wichita St.,39,30,110.6,91,0.9045,50,19.4,38,36.5,49.6,33.9,2013
Duquesne,30,11,107,111.7,0.379,51.2,18.3,31.7,32.5,49.5,36.2,2015
Fordham,30,9,101,103,0.445,46.7,22.2,33.4,33.1,47.8,29.8,2015
George Mason,30,8,101.2,103.8,0.4276,45.5,21.9,35.9,41.1,44.9,31.6,2015
George Washington,35,22,107.2,96.2,0.7755,48.9,18.7,35.5,39.9,47.3,35.2,2015
La Salle,33,17,98.9,92.9,0.6734,46.7,19.9,29.6,36.4,46.1,32.1,2015
Massachusetts,32,17,104.5,100.7,0.6047,47.3,20.5,34,42.4,48.4,29.6,2015
Rhode Island,32,22,102.1,91,0.79,48.9,20.8,32.3,47.3,50.1,30.5,2015
Richmond,35,21,106.7,94.6,0.7997,52.1,15.6,22.2,32.9,52.8,34,2015
Saint Joseph's,31,13,98.2,97.3,0.5254,45.3,19.2,31.5,35.2,45.5,29.9,2015
Saint Louis,31,10,94.1,102.8,0.2642,46.2,21.7,27.2,41.5,45.2,32,2015
St. Bonaventure,31,18,102.4,98.5,0.6081,47.1,18.9,35,37.9,47.1,31.4,2015
Davidson,32,19,113,106,0.6767,52,14.2,24.9,32.3,51.1,35.5,2016
Duquesne,33,16,108.2,105.1,0.5851,53.9,18.9,27.9,33.6,53.1,36.6,2016
Fordham,30,16,101.8,100.4,0.5388,51.5,20.4,30.4,33.6,51.2,34.6,2016
George Mason,32,11,101.4,103.1,0.4507,45.1,18.6,33.5,34.4,45.7,29.2,2016
George Washington,38,28,114.9,99.1,0.8454,50.8,16.5,34.4,39.1,48.4,37.1,2016
La Salle,30,8,99.2,105.3,0.3358,47.7,18.8,24.9,30.9,45.4,33.6,2016
Massachusetts,32,14,102.1,100.7,0.5394,49.1,17.5,25.9,36.5,48.8,33,2016
Rhode Island,32,17,107.6,98.3,0.7403,50.4,17.5,30.6,37.6,48.3,36.5,2016
Richmond,32,16,112.6,104,0.7136,54.7,14.7,23.2,35.2,55.4,35.6,2016
Saint Louis,32,11,96.4,100.2,0.3913,47.7,19.5,20.7,37.8,46.9,32.8,2016
St. Bonaventure,31,22,113.2,104.4,0.7173,51.5,16.5,31.3,37.5,48.8,37.3,2016
Davidson,32,17,108.8,98.6,0.7561,51.6,17.4,25.1,31.5,51.9,34.1,2017
Duquesne,32,10,101.6,106.1,0.3798,48.9,20,29,37.1,48.3,33.4,2017
Fordham,31,13,96.6,98.2,0.4547,48.4,19.7,23.4,26.7,47.4,33.2,2017
George Mason,33,20,106.1,103.7,0.5669,49.3,18.7,31.6,39.7,48.5,34.2,2017
George Washington,35,20,107.1,103.8,0.5886,49.5,19.3,32.7,36.6,45.6,37.1,2017
La Salle,30,15,109.1,107,0.5548,53.3,18.6,25.7,38.3,52.4,36.4,2017
Massachusetts,33,15,99.6,99.5,0.501,49.7,20.3,28.1,34.6,53.3,29.7,2017
Richmond,35,22,110,102.5,0.6922,53.9,16.2,20.7,31.6,55.6,34.2,2017
Saint Joseph's,31,11,101.6,102.6,0.4729,46.6,17,29.8,40.1,45.7,32.4,2017
Saint Louis,33,12,95.5,103.2,0.2891,47,20.3,24.2,34.4,44.3,34.2,2017
St. Bonaventure,32,20,107.2,100.4,0.6799,49.7,17.6,33,42.4,48.5,34.8,2017
Dayton,31,14,108.3,106.8,0.5405,55.5,20.2,25.8,31.8,59.5,33.7,2018
Duquesne,32,16,104.8,106.8,0.4469,49.7,17.6,33,35.4,47.8,35,2018
Fordham,31,9,94.1,104.9,0.2223,47.9,18.5,18.8,26.9,52.1,28.8,2018
George Mason,33,16,101.4,105.6,0.3854,49.1,18.2,27.9,31.8,49.1,32.6,2018
George Washington,33,15,103.9,104.1,0.4952,49.5,19.2,31.7,28.9,50.2,32.1,2018
La Salle,32,13,104.6,101.6,0.5849,49,16.5,25.5,31,48.8,32.9,2018
Massachusetts,33,13,106.4,109.6,0.4157,52.5,18.6,27.2,25.1,47.9,40,2018
Richmond,32,12,107.1,108,0.4755,52.1,16.9,23.4,29.7,53.2,33.4,2018
Saint Joseph's,32,16,104.5,99.9,0.628,48.8,13.9,23.5,34.6,47.7,33.7,2018
Saint Louis,32,17,101.3,99.3,0.5572,47.1,19.5,33.8,45.8,46.6,32,2018
VCU,33,18,105.5,102.7,0.5788,52.6,18.7,29,28.1,52.4,35.2,2018
Davidson,33,24,107.3,99.8,0.6974,53.1,16.7,23.3,28.3,52.8,35.6,2019
Dayton,33,21,111.1,98.9,0.7915,56.1,18.8,26.9,32.1,59.5,33.2,2019
Duquesne,32,19,103.8,104.4,0.4824,49.9,19.8,31.9,35,51.1,32.2,2019
Fordham,31,12,96,102.6,0.3181,46.8,16.4,25.1,24.5,44.7,33,2019
George Mason,33,18,102.8,103.9,0.4688,50.1,18.9,29,34.2,50.5,33,2019
George Washington,33,9,95.4,104.5,0.259,45.8,18.2,23.4,32.6,45.3,31.1,2019
La Salle,31,10,99.7,102.5,0.422,47.2,20.2,28.9,28.5,45.3,33.1,2019
Massachusetts,32,11,102.6,108.6,0.3433,51.1,20.2,31.5,31.3,50.2,35,2019
Rhode Island,33,18,103.5,99.9,0.6009,47.4,17.8,31.3,36.8,50,28,2019
Richmond,33,13,108,107.6,0.5106,54.1,15.3,19.1,30.7,55.5,34.7,2019
Saint Joseph's,33,14,105.3,105.3,0.501,48,13.5,22,31.7,47.8,32.2,2019
St. Bonaventure,34,18,101.1,95.1,0.667,48.3,18.7,29.2,28.2,47.9,32.8,2019
Boston College,32,13,108.6,99.2,0.74,50.8,18.8,26,35,52.1,32.4,2015
Clemson,31,16,104.2,92.7,0.7942,46,18.6,34.1,34.4,46.5,29.9,2015
Florida St.,33,17,104.1,96.2,0.7105,50.1,21.9,31.8,46.9,51.4,31.3,2015
Georgia Tech,31,12,102.1,92.9,0.7463,44.4,19.6,38.7,31.1,46.1,26.7,2015
Miami FL,38,25,111.2,96,0.8446,49.9,15.9,29.5,35.5,47.4,35.8,2015
Pittsburgh,33,18,113.2,101.7,0.7749,49.1,15.7,34.3,34.8,48.6,33.6,2015
Syracuse,31,18,106.1,90.8,0.8565,47.3,17.9,33.5,35.4,48.3,30,2015
Virginia Tech,33,11,105.5,104.8,0.5204,51.5,18.1,26,31.9,47.7,38.9,2015
Wake Forest,32,13,104.8,98.1,0.6826,47.8,19.3,31.8,41.5,46.5,33.6,2015
Boston College,32,7,95,99.1,0.382,47.5,20,21.8,25.9,46.9,32.3,2016
Clemson,31,17,112.1,98,0.8241,50.6,15.8,30.3,33.3,49.1,35.2,2016
Florida St.,34,20,112.2,99.1,0.8069,51.8,18,32.8,37.8,52.1,34.1,2016
Georgia Tech,36,21,113.9,98.2,0.845,49.8,16.7,37.5,31.7,48.4,35.7,2016
Louisville,31,23,111.5,89.6,0.925,51.9,17.1,38.5,31.8,51.9,34.7,2016
North Carolina St.,33,16,113.6,102.9,0.7561,48.5,16.1,36.3,38.9,46.9,34.8,2016
Virginia Tech,35,20,109.5,97.8,0.7855,50,18,30.3,49.4,49.1,34.8,2016
Wake Forest,31,11,106.9,99.4,0.6977,49.4,20.1,32.7,43.2,50.4,31.6,2016
Boston College,32,9,104.1,101.9,0.5618,51.6,20.1,25.6,29.6,49.1,37.4,2017
Clemson,33,17,115.3,98.9,0.8532,51.1,15.8,31.4,34.3,49.8,35.7,2017
Georgia Tech,36,21,99.4,90.6,0.743,47.4,19.3,27.7,35.8,46.9,32.5,2017
North Carolina St.,32,15,111.9,105.2,0.6688,52.7,18.5,29.8,36.2,52.4,35.6,2017
Pittsburgh,33,16,112.7,101.2,0.7754,51.4,17.6,28.2,39.4,49.6,36.1,2017
Syracuse,34,19,116.2,100.6,0.84,53.5,18,31.6,35.1,51.3,37.9,2017
Boston College,35,19,112.6,102.8,0.7399,52.1,18.2,30.1,30.7,51.1,35.9,2018
Georgia Tech,32,13,103.4,98.5,0.6385,46.9,19.2,30.8,34.8,46.6,31.8,2018
Louisville,36,22,112,96.4,0.8486,51.8,16.7,28.6,31.9,49.7,37.1,2018
Notre Dame,35,21,114.1,99.4,0.8305,51.1,14.7,31.1,31,49.6,35.6,2018
Pittsburgh,32,8,98.2,103.3,0.3571,48.2,20.9,22.7,31.9,47.8,32.5,2018
Wake Forest,31,11,110.4,101.6,0.7242,50.5,18.8,30.5,31.9,47.4,37.4,2018
Boston College,31,14,106.2,101.5,0.628,48.5,17.5,28.6,35,49.1,31.7,2019
Clemson,34,20,107.2,90.3,0.8773,50.7,19.7,27.8,33.5,51.5,32.8,2019
Georgia Tech,32,14,99.9,95.7,0.6205,49.2,21,25.3,34.3,50.7,30.7,2019
Miami FL,32,14,109.3,98.8,0.7632,50.8,16.9,25.9,30.8,51.4,33.3,2019
