TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR,OVER_.500
North Carolina,40.0,A,A,B,A,A,B,A,B,A,B,2016.0,TRUE
Wisconsin,40.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
Michigan,40.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Texas Tech,38.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
Gonzaga,39.0,A,A,B,A,A,B,A,A,A,A,2017.0,TRUE
Kentucky,40.0,A,A,B,A,A,B,A,A,A,B,2014.0,TRUE
Michigan,38.0,A,A,B,A,A,B,A,B,A,A,2013.0,TRUE
Duke,39.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
Virginia,38.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
North Carolina,39.0,A,A,B,A,A,B,A,B,A,A,2017.0,TRUE
Villanova,40.0,A,A,B,A,A,B,B,B,A,A,2016.0,TRUE
Villanova,40.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Connecticut,40.0,A,A,B,A,A,B,A,A,B,A,2014.0,TRUE
Louisville,40.0,A,A,B,A,A,B,A,A,A,B,2013.0,TRUE
Louisville,36.0,A,A,B,A,B,B,A,A,B,B,2015.0,TRUE
Notre Dame,38.0,A,A,B,A,A,B,B,A,A,A,2015.0,TRUE
Notre Dame,36.0,A,A,B,A,A,B,A,B,A,A,2016.0,TRUE
Virginia,37.0,A,A,B,A,A,B,A,B,A,A,2016.0,TRUE
Duke,37.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
Florida St.,35.0,A,A,B,A,A,B,A,A,A,A,2018.0,TRUE
Duke,38.0,A,A,B,A,A,B,A,B,A,B,2019.0,TRUE
Purdue,36.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
Kansas,37.0,A,A,B,A,A,B,A,A,A,A,2016.0,TRUE
Kansas,36.0,A,A,B,A,A,B,A,A,A,A,2017.0,TRUE
Kansas St.,37.0,A,A,B,A,A,B,B,B,A,B,2018.0,TRUE
Texas Tech,37.0,A,A,B,A,A,B,A,A,A,A,2018.0,TRUE
Xavier,38.0,A,A,B,A,A,B,A,A,A,A,2017.0,TRUE
Arizona,38.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
Oregon,37.0,A,A,B,A,A,B,A,A,A,B,2016.0,TRUE
Florida,36.0,A,A,B,A,A,B,A,A,A,A,2017.0,TRUE
Kentucky,38.0,A,A,B,A,A,B,A,A,A,A,2017.0,TRUE
Kentucky,37.0,A,A,B,A,A,B,A,A,A,A,2019.0,TRUE
Gonzaga,37.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
Gonzaga,37.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
Arizona,38.0,A,A,B,A,A,B,A,A,A,A,2014.0,TRUE
Michigan,37.0,A,A,B,A,A,B,B,B,A,A,2014.0,TRUE
Michigan St.,38.0,A,A,B,A,A,B,A,B,A,A,2014.0,TRUE
Dayton,37.0,A,A,B,A,A,B,A,A,A,A,2014.0,TRUE
Ohio St.,37.0,A,A,B,A,A,B,A,B,A,A,2013.0,TRUE
Duke,36.0,A,A,B,A,A,B,B,A,A,A,2013.0,TRUE
Marquette,35.0,A,A,B,A,B,A,A,A,A,B,2013.0,TRUE
Florida,37.0,A,A,B,A,A,B,A,B,A,A,2013.0,TRUE
Syracuse,37.0,A,A,B,A,A,B,A,B,B,A,2016.0,TRUE
Michigan St.,39.0,A,A,B,A,A,B,A,B,A,A,2015.0,TRUE
Michigan St.,39.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
Oklahoma,37.0,A,A,B,A,A,B,A,B,B,A,2016.0,TRUE
Kansas,39.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Loyola Chicago,37.0,A,A,B,A,A,A,B,B,A,A,2018.0,TRUE
Oregon,38.0,A,A,B,A,A,B,A,B,A,A,2017.0,TRUE
Kentucky,39.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
South Carolina,36.0,A,A,B,A,B,B,A,A,B,B,2017.0,TRUE
Auburn,39.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
Florida,39.0,A,A,B,A,A,B,A,A,A,A,2014.0,TRUE
Wisconsin,38.0,A,A,B,A,A,B,B,A,A,A,2014.0,TRUE
Syracuse,40.0,A,A,B,A,B,A,A,A,B,B,2013.0,TRUE
Wichita St.,39.0,A,A,B,A,A,A,A,A,A,B,2013.0,TRUE
Duquesne,30.0,B,A,A,B,A,B,A,B,A,A,2015.0,FALSE
Fordham,30.0,B,B,B,B,B,A,A,B,B,B,2015.0,FALSE
George Mason,30.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
George Washington,35.0,A,A,B,A,B,B,A,A,B,A,2015.0,TRUE
La Salle,33.0,A,B,B,A,B,A,B,A,B,B,2015.0,TRUE
Massachusetts,32.0,A,A,B,A,B,A,A,A,B,B,2015.0,TRUE
Rhode Island,32.0,A,B,B,A,B,A,A,A,A,B,2015.0,TRUE
Richmond,35.0,A,A,B,A,A,B,B,B,A,B,2015.0,TRUE
Saint Joseph's,31.0,B,B,B,A,B,A,A,B,B,B,2015.0,FALSE
Saint Louis,31.0,B,B,B,B,B,A,B,A,B,B,2015.0,FALSE
St. Bonaventure,31.0,A,B,B,A,B,A,A,A,B,B,2015.0,TRUE
Davidson,32.0,A,A,A,A,A,B,B,B,A,A,2016.0,TRUE
Duquesne,33.0,B,A,A,A,A,A,B,B,A,A,2016.0,FALSE
Fordham,30.0,B,B,B,A,A,A,A,B,A,A,2016.0,TRUE
George Mason,32.0,B,B,B,B,B,B,A,B,B,B,2016.0,FALSE
George Washington,38.0,A,A,B,A,A,B,A,A,B,A,2016.0,TRUE
La Salle,30.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Massachusetts,32.0,B,B,B,A,B,B,B,A,B,B,2016.0,FALSE
Rhode Island,32.0,A,A,B,A,A,B,A,A,B,A,2016.0,TRUE
Richmond,32.0,B,A,A,A,A,B,B,B,A,A,2016.0,TRUE
Saint Louis,32.0,B,B,B,B,B,A,B,A,B,B,2016.0,FALSE
St. Bonaventure,31.0,A,A,A,A,A,B,A,A,B,A,2016.0,TRUE
Davidson,32.0,A,A,B,A,A,B,B,B,A,B,2017.0,TRUE
Duquesne,32.0,B,B,A,B,B,A,B,A,B,B,2017.0,FALSE
Fordham,31.0,B,B,B,B,B,A,B,B,B,B,2017.0,FALSE
George Mason,33.0,A,A,A,A,B,B,A,A,B,B,2017.0,TRUE
George Washington,35.0,A,A,A,A,B,A,A,A,B,A,2017.0,TRUE
La Salle,30.0,B,A,A,A,A,B,B,A,A,A,2017.0,TRUE
Massachusetts,33.0,B,B,B,A,B,A,B,B,A,B,2017.0,FALSE
Richmond,35.0,A,A,B,A,A,B,B,B,A,B,2017.0,TRUE
Saint Joseph's,31.0,B,B,B,B,B,B,B,A,B,B,2017.0,FALSE
Saint Louis,33.0,B,B,B,B,B,A,B,B,B,B,2017.0,FALSE
St. Bonaventure,32.0,A,A,B,A,B,B,A,A,B,A,2017.0,TRUE
Dayton,31.0,B,A,A,A,A,A,B,B,A,B,2018.0,FALSE
Duquesne,32.0,B,A,A,B,B,B,A,B,B,A,2018.0,TRUE
Fordham,31.0,B,B,A,B,B,B,B,B,A,B,2018.0,FALSE
George Mason,33.0,B,B,A,B,B,B,B,B,A,B,2018.0,FALSE
George Washington,33.0,B,A,A,A,B,A,A,B,A,B,2018.0,FALSE
La Salle,32.0,B,A,B,A,B,B,B,B,B,B,2018.0,FALSE
Massachusetts,33.0,B,A,A,B,A,B,B,B,B,A,2018.0,FALSE
Richmond,32.0,B,A,A,B,A,B,B,B,A,B,2018.0,FALSE
Saint Joseph's,32.0,B,A,B,A,B,B,B,B,B,B,2018.0,TRUE
Saint Louis,32.0,A,B,B,A,B,A,A,A,B,B,2018.0,TRUE
VCU,33.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Davidson,33.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
Dayton,33.0,A,A,B,A,A,A,B,B,A,B,2019.0,TRUE
Duquesne,32.0,A,A,A,B,A,A,A,B,A,B,2019.0,TRUE
Fordham,31.0,B,B,B,B,B,B,B,B,B,B,2019.0,FALSE
George Mason,33.0,A,B,A,B,A,A,B,B,A,B,2019.0,TRUE
George Washington,33.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
La Salle,31.0,B,B,B,B,B,A,B,B,B,B,2019.0,FALSE
Massachusetts,32.0,B,B,A,B,A,A,A,B,A,A,2019.0,FALSE
Rhode Island,33.0,A,A,B,A,B,B,A,A,A,B,2019.0,TRUE
Richmond,33.0,B,A,A,A,A,B,B,B,A,A,2019.0,FALSE
Saint Joseph's,33.0,B,A,A,A,B,B,B,B,B,B,2019.0,FALSE
St. Bonaventure,34.0,A,B,B,A,B,B,B,B,B,B,2019.0,TRUE
Boston College,32.0,B,A,B,A,A,A,B,B,A,B,2015.0,FALSE
Clemson,31.0,B,A,B,A,B,B,A,B,B,B,2015.0,TRUE
Florida St.,33.0,A,A,B,A,A,A,A,A,A,B,2015.0,TRUE
Georgia Tech,31.0,B,B,B,A,B,A,A,B,B,B,2015.0,FALSE
Miami FL,38.0,A,A,B,A,A,B,B,B,B,A,2015.0,TRUE
Pittsburgh,33.0,A,A,B,A,B,B,A,B,B,B,2015.0,TRUE
Syracuse,31.0,A,A,B,A,B,B,A,B,B,B,2015.0,TRUE
Virginia Tech,33.0,B,A,A,A,A,B,B,B,B,A,2015.0,FALSE
Wake Forest,32.0,B,A,B,A,B,A,A,A,B,B,2015.0,FALSE
Boston College,32.0,B,B,B,B,B,A,B,B,B,B,2016.0,FALSE
Clemson,31.0,A,A,B,A,A,B,A,B,A,A,2016.0,TRUE
Florida St.,34.0,A,A,B,A,A,B,A,A,A,B,2016.0,TRUE
Georgia Tech,36.0,A,A,B,A,B,B,A,B,B,A,2016.0,TRUE
Louisville,31.0,A,A,B,A,A,B,A,B,A,A,2016.0,TRUE
North Carolina St.,33.0,B,A,B,A,B,B,A,A,B,A,2016.0,FALSE
Virginia Tech,35.0,A,A,B,A,A,B,A,A,A,A,2016.0,TRUE
Wake Forest,31.0,B,A,B,A,B,A,A,A,A,B,2016.0,FALSE
Boston College,32.0,B,A,B,A,A,A,B,B,A,A,2017.0,FALSE
Clemson,33.0,A,A,B,A,A,B,A,B,A,A,2017.0,TRUE
Georgia Tech,36.0,A,B,B,A,B,A,B,B,B,B,2017.0,TRUE
North Carolina St.,32.0,B,A,A,A,A,B,B,A,A,A,2017.0,FALSE
Pittsburgh,33.0,B,A,B,A,A,B,B,A,A,A,2017.0,FALSE
Syracuse,34.0,A,A,B,A,A,B,A,B,A,A,2017.0,TRUE
Boston College,35.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
Georgia Tech,32.0,B,A,B,A,B,A,A,B,B,B,2018.0,FALSE
Louisville,36.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Notre Dame,35.0,A,A,B,A,A,B,A,B,A,A,2018.0,TRUE
Pittsburgh,32.0,B,B,B,B,B,A,B,B,B,B,2018.0,FALSE
Wake Forest,31.0,B,A,B,A,A,A,A,B,B,A,2018.0,FALSE
Boston College,31.0,B,A,B,A,B,B,B,B,A,B,2019.0,FALSE
Clemson,34.0,A,A,B,A,A,A,B,B,A,B,2019.0,TRUE
Georgia Tech,32.0,B,B,B,A,B,A,B,B,A,B,2019.0,FALSE
Miami FL,32.0,B,A,B,A,A,B,B,B,A,B,2019.0,FALSE
North Carolina St.,36.0,A,A,B,A,A,B,A,B,A,A,2019.0,TRUE
Notre Dame,33.0,B,A,B,A,B,B,B,B,B,B,2019.0,FALSE
Pittsburgh,33.0,B,B,B,A,B,A,A,A,B,B,2019.0,FALSE
Wake Forest,31.0,B,A,B,A,B,A,A,A,B,B,2019.0,FALSE
Binghamton,30.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Hartford,29.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
Maine,30.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
New Hampshire,30.0,A,B,B,B,B,B,B,A,B,A,2015.0,TRUE
Stony Brook,33.0,A,B,B,A,B,B,A,B,B,B,2015.0,TRUE
UMass Lowell,28.0,B,B,A,B,B,A,B,B,B,A,2015.0,FALSE
UMBC,30.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Vermont,33.0,A,B,B,A,A,A,B,A,A,A,2015.0,TRUE
Albany,32.0,A,A,B,A,A,B,A,A,A,B,2016.0,TRUE
Binghamton,30.0,B,B,B,B,B,A,B,A,B,B,2016.0,FALSE
Hartford,32.0,B,B,A,B,B,B,B,B,B,A,2016.0,FALSE
Maine,30.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
New Hampshire,31.0,A,B,A,B,B,B,B,A,B,B,2016.0,TRUE
UMass Lowell,28.0,B,B,A,B,A,A,B,B,A,A,2016.0,FALSE
UMBC,32.0,B,B,A,B,A,B,B,A,A,B,2016.0,FALSE
Vermont,36.0,A,A,A,A,A,A,B,A,A,A,2016.0,TRUE
Albany,34.0,A,A,A,A,A,B,A,B,A,A,2017.0,TRUE
Binghamton,29.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Hartford,32.0,B,B,A,B,B,A,B,B,B,B,2017.0,FALSE
Maine,31.0,B,B,A,B,B,A,B,B,B,B,2017.0,FALSE
New Hampshire,29.0,A,B,B,B,A,B,B,B,A,B,2017.0,TRUE
Stony Brook,32.0,A,B,A,B,B,B,B,B,B,B,2017.0,TRUE
UMass Lowell,30.0,B,B,A,B,A,A,B,B,A,A,2017.0,FALSE
UMBC,32.0,A,A,A,B,A,B,B,B,A,A,2017.0,TRUE
Albany,31.0,A,A,A,A,A,B,A,A,B,A,2018.0,TRUE
Binghamton,29.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
Hartford,32.0,A,B,A,B,A,B,B,B,A,B,2018.0,TRUE
Maine,30.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
New Hampshire,29.0,B,B,A,B,B,B,B,B,B,B,2018.0,FALSE
Stony Brook,31.0,B,B,B,B,B,A,A,B,B,B,2018.0,FALSE
UMass Lowell,29.0,B,A,A,B,A,B,B,A,A,B,2018.0,FALSE
Vermont,34.0,A,A,A,A,A,B,B,A,A,A,2018.0,TRUE
Albany,31.0,B,B,A,B,B,A,B,B,B,A,2019.0,FALSE
Binghamton,31.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
Hartford,32.0,A,A,A,B,A,B,B,B,A,A,2019.0,TRUE
Maine,31.0,B,B,A,B,B,A,B,B,A,B,2019.0,FALSE
New Hampshire,27.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
Stony Brook,32.0,A,B,B,B,B,A,A,B,B,B,2019.0,TRUE
UMass Lowell,30.0,B,B,A,B,A,A,B,B,A,B,2019.0,TRUE
UMBC,31.0,A,B,B,B,B,B,B,B,A,B,2019.0,TRUE
Connecticut,35.0,A,A,B,A,A,B,A,B,B,A,2015.0,TRUE
East Carolina,31.0,B,B,A,B,B,B,B,B,B,A,2015.0,FALSE
Houston,32.0,B,B,B,B,B,A,A,B,B,B,2015.0,FALSE
Memphis,32.0,A,A,B,A,B,A,A,B,B,B,2015.0,TRUE
South Florida,31.0,B,B,A,B,B,A,A,B,B,B,2015.0,FALSE
Temple,37.0,A,A,B,A,B,B,A,B,B,B,2015.0,TRUE
Tulane,30.0,B,B,B,B,B,A,A,B,B,B,2015.0,FALSE
Tulsa,33.0,A,B,B,A,B,B,A,A,B,B,2015.0,TRUE
UCF,29.0,B,B,A,B,B,A,A,B,B,A,2015.0,FALSE
East Carolina,32.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Houston,32.0,A,A,A,A,A,B,A,B,A,A,2016.0,TRUE
Memphis,34.0,A,A,B,A,B,B,A,A,B,B,2016.0,TRUE
SMU,30.0,A,A,B,A,A,A,A,B,A,A,2016.0,TRUE
South Florida,33.0,B,B,A,B,B,A,A,B,B,B,2016.0,FALSE
Tulane,34.0,B,B,B,B,B,A,A,B,B,B,2016.0,FALSE
UCF,30.0,B,B,B,B,B,A,A,A,A,B,2016.0,FALSE
Connecticut,32.0,B,A,B,A,B,B,A,B,B,A,2017.0,TRUE
East Carolina,33.0,B,B,B,B,B,A,A,A,B,B,2017.0,FALSE
Houston,32.0,A,A,B,A,A,B,A,B,B,A,2017.0,TRUE
Memphis,32.0,A,A,B,A,B,B,A,A,A,B,2017.0,TRUE
South Florida,30.0,B,B,A,B,B,A,A,B,B,A,2017.0,FALSE
Temple,32.0,B,A,B,A,B,B,B,B,B,A,2017.0,TRUE
Tulane,31.0,B,B,A,B,B,A,B,B,B,B,2017.0,FALSE
Tulsa,32.0,B,A,B,A,B,A,B,A,B,B,2017.0,FALSE
UCF,36.0,A,A,B,A,A,A,A,A,A,A,2017.0,TRUE
Connecticut,32.0,B,A,A,B,B,B,B,B,B,B,2018.0,FALSE
East Carolina,30.0,B,B,A,B,B,A,B,B,A,B,2018.0,FALSE
Memphis,34.0,A,A,A,A,A,A,A,A,A,B,2018.0,TRUE
